iter	Passed	Remaining
201	278	1100
202	279	1095
203	279	1091
204	280	1086
205	280	1081
206	281	1077
207	281	1072
208	282	1068
209	282	1064
210	283	1059
211	283	1055
212	284	1050
213	284	1046
214	285	1042
215	286	1038
216	286	1034
217	287	1029
218	287	1025
219	288	1021
220	288	1018
221	289	1014
222	289	1010
223	290	1006
224	290	1002
225	291	998
226	291	994
227	292	990
228	292	986
229	293	982
230	294	978
231	294	975
232	295	971
233	295	967
234	296	964
235	296	960
236	297	957
237	297	953
238	298	949
239	298	946
240	299	943
241	300	939
242	300	936
243	301	932
244	301	929
245	302	926
246	302	922
247	303	919
248	303	915
249	304	912
250	304	909
251	305	906
252	305	903
253	306	899
254	306	896
255	307	893
256	307	890
257	308	887
258	308	883
259	309	880
260	309	877
261	310	874
262	311	871
263	311	868
264	312	865
265	312	862
266	313	859
267	313	856
268	314	853
269	314	850
270	315	849
271	316	847
272	317	844
273	317	841
274	318	838
275	318	836
276	319	833
277	320	831
278	320	828
279	321	825
280	321	823
281	322	820
282	322	818
283	323	815
284	323	812
285	324	810
286	325	807
287	325	805
288	326	802
289	326	799
290	327	797
291	327	795
292	328	792
293	329	790
294	329	787
295	330	785
296	330	783
297	331	780
298	331	778
299	332	776
300	333	773
301	333	771
302	334	769
303	335	767
304	335	765
305	336	762
306	336	760
307	337	758
308	338	756
309	338	754
310	339	751
311	339	749
312	340	747
313	341	745
314	341	742
315	342	740
316	342	738
317	343	736
318	344	734
319	344	732
320	345	730
321	345	728
322	346	726
323	346	723
324	347	721
325	348	719
326	348	717
327	349	715
328	349	713
329	350	711
330	351	709
331	351	707
332	352	705
333	352	703
334	353	701
335	353	699
336	354	697
337	355	695
338	355	693
339	356	691
340	356	689
341	357	687
342	357	685
343	358	683
344	358	681
345	359	679
346	360	677
347	360	675
348	361	673
349	361	671
350	362	669
351	362	667
352	363	666
353	363	664
354	364	662
355	364	660
356	365	658
357	366	656
358	366	655
359	367	653
360	368	651
361	368	649
362	369	647
363	369	646
364	370	644
365	371	643
366	371	641
367	372	639
368	373	637
369	373	636
370	374	634
371	374	632
372	375	630
373	375	629
374	376	628
375	377	626
376	377	624
377	378	622
378	378	620
379	379	619
380	379	617
381	380	615
382	381	613
383	381	612
384	382	610
385	382	608
386	383	607
387	383	605
388	384	603
389	384	602
390	385	600
391	386	598
392	386	597
393	387	595
394	387	593
395	388	592
396	388	590
397	389	589
398	390	587
399	390	585
400	391	584
401	391	582
402	392	580
403	392	579
404	393	577
405	393	576
406	394	574
407	394	573
408	395	571
409	396	569
410	396	568
411	397	566
412	397	565
413	398	563
414	399	562
415	399	560
416	400	559
417	400	557
418	401	556
419	401	554
420	402	553
421	402	551
422	403	550
423	404	548
424	404	547
425	405	545
426	405	544
427	406	542
428	406	541
429	407	539
430	407	538
431	408	536
432	408	535
433	409	533
434	409	532
435	410	530
436	410	529
437	411	527
438	411	526
439	412	524
440	412	523
441	413	521
442	413	520
443	414	518
444	414	517
445	415	515
446	415	514
447	416	512
448	416	511
449	417	510
450	417	508
451	418	507
452	418	505
453	419	504
454	419	502
455	420	501
456	420	499
457	421	498
458	421	497
459	422	495
460	422	494
461	423	492
462	423	491
463	424	490
464	425	489
465	425	487
466	426	486
467	426	485
468	427	483
469	427	482
470	428	481
471	428	479
472	429	478
473	429	476
474	430	475
475	430	474
476	431	472
477	431	471
478	432	470
479	432	469
480	433	467
481	434	466
482	434	465
483	435	463
484	435	462
485	436	461
486	436	459
487	437	458
488	437	457
489	438	456
490	438	454
491	439	453
492	439	452
493	440	451
494	440	449
495	441	448
496	441	447
497	442	445
498	442	444
499	443	443
500	444	442
501	444	441
502	445	439
503	445	438
504	446	437
505	446	436
506	447	434
507	447	433
508	448	432
509	448	431
510	449	430
511	450	429
512	450	427
513	451	426
514	451	425
515	452	424
516	452	422
517	453	421
518	453	420
519	454	419
520	455	418
521	455	417
522	456	416
523	456	415
524	457	413
525	458	412
526	458	411
527	459	410
528	459	409
529	460	408
530	460	407
531	461	405
532	462	404
533	462	403
534	463	402
535	463	401
536	464	400
537	464	399
538	465	398
539	465	396
540	466	395
541	467	394
542	467	393
543	468	392
544	468	391
545	469	390
546	469	389
547	470	388
548	471	387
549	471	386
550	472	384
551	472	383
552	473	382
553	474	381
554	474	380
555	475	379
556	476	378
557	476	377
558	477	376
559	477	375
560	478	374
561	478	373
562	479	372
563	479	371
564	480	369
565	481	368
566	481	367
567	482	366
568	482	365
569	483	364
570	484	363
571	484	362
572	485	361
573	485	360
574	486	359
575	487	358
576	487	357
577	488	356
578	489	355
579	489	354
580	490	353
581	490	352
582	491	351
583	492	350
584	492	349
585	493	348
586	493	347
587	494	346
588	495	345
589	495	344
590	496	343
591	496	342
592	497	341
593	498	340
594	498	339
595	499	338
596	499	337
597	500	336
598	500	335
599	501	334
600	502	333
601	502	332
602	503	331
603	503	330
604	504	329
605	504	328
606	505	327
607	505	326
608	506	325
609	506	324
610	507	323
611	508	322
612	508	321
613	509	320
614	509	319
615	510	318
616	510	317
617	511	316
618	512	315
619	512	314
620	513	313
621	513	312
622	514	311
623	514	310
624	515	309
625	515	308
626	516	307
627	517	306
628	517	305
629	518	304
630	518	303
631	519	302
632	520	301
633	520	300
634	521	299
635	521	298
636	522	297
637	523	296
638	523	295
639	524	294
640	524	293
641	525	292
642	525	291
643	526	290
644	526	290
645	527	289
646	528	288
647	528	287
648	529	286
649	529	285
650	530	284
651	530	283
652	531	282
653	531	281
654	532	280
655	532	279
656	533	278
657	533	277
658	534	276
659	534	275
660	535	274
661	536	273
662	536	272
663	537	271
664	537	270
665	538	269
666	538	268
667	539	268
668	539	267
669	540	266
670	540	265
671	541	264
672	542	263
673	543	262
674	543	261
675	544	260
676	544	260
677	545	259
678	546	258
679	546	257
680	547	256
681	547	255
682	548	254
683	548	253
684	549	252
685	549	251
686	550	250
687	550	249
688	551	248
689	551	247
690	552	246
691	553	246
692	553	245
693	554	244
694	554	243
695	555	242
696	555	241
697	556	240
698	556	239
699	557	238
700	557	237
701	558	237
702	558	236
703	559	235
704	559	234
705	560	233
706	560	232
707	561	231
708	561	230
709	562	229
710	562	228
711	563	227
712	563	227
713	564	226
714	564	225
715	565	224
716	565	223
717	566	222
718	566	221
719	567	220
720	568	219
721	568	218
722	569	218
723	569	217
724	570	216
725	570	215
726	571	214
727	571	213
728	572	212
729	572	211
730	573	210
731	573	210
732	574	209
733	574	208
734	575	207
735	575	206
736	576	205
737	576	204
738	577	203
739	577	202
740	578	202
741	578	201
742	579	200
743	579	199
744	580	198
745	580	197
746	581	196
747	581	195
748	582	195
749	582	194
750	583	193
751	583	192
752	584	191
753	584	190
754	585	189
755	585	189
756	586	188
757	586	187
758	587	186
759	587	185
760	588	184
761	588	183
762	589	183
763	589	182
764	590	181
765	590	180
766	591	179
767	591	178
768	592	177
769	592	177
770	593	176
771	593	175
772	594	174
773	594	173
774	595	172
775	595	171
776	596	171
777	596	170
778	597	169
779	597	168
780	598	167
781	598	166
782	599	166
783	599	165
784	600	164
785	600	163
786	601	162
787	601	161
788	602	161
789	602	160
790	603	159
791	603	158
792	604	157
793	604	156
794	605	156
795	605	155
796	606	154
797	607	153
798	607	152
799	608	152
800	608	151
801	609	150
802	609	149
803	610	148
804	610	147
805	611	147
806	611	146
807	612	145
808	612	144
809	613	143
810	613	143
811	614	142
812	614	141
813	615	140
814	615	139
815	616	139
816	617	138
817	617	137
818	618	136
819	618	135
820	619	134
821	619	134
822	620	133
823	620	132
824	621	131
825	621	130
826	622	130
827	622	129
828	623	128
829	623	127
830	624	126
831	624	126
832	625	125
833	625	124
834	626	123
835	626	122
836	627	122
837	627	121
838	628	120
839	628	119
840	629	118
841	629	118
842	630	117
843	630	116
844	631	115
845	631	115
846	632	114
847	632	113
848	633	112
849	633	111
850	634	111
851	635	110
852	635	109
853	636	108
854	636	107
855	637	107
856	637	106
857	638	105
858	638	104
859	639	104
860	639	103
861	640	102
862	640	101
863	641	100
864	641	100
865	642	99
866	642	98
867	643	97
868	643	97
869	644	96
870	645	95
871	645	94
872	646	93
873	646	93
874	647	92
875	647	91
876	648	90
877	648	90
878	649	89
879	649	88
880	650	87
881	650	87
882	651	86
883	651	85
884	652	84
885	652	84
886	653	83
887	653	82
888	654	81
889	654	80
890	655	80
891	656	79
892	656	78
893	657	77
894	657	77
895	658	76
896	658	75
897	659	74
898	659	74
899	660	73
900	660	72
901	661	71
902	661	71
903	662	70
904	662	69
905	663	68
906	663	68
907	664	67
908	664	66
909	665	65
910	665	65
911	666	64
912	666	63
913	667	62
914	667	62
915	668	61
916	668	60
917	669	59
918	669	59
919	670	58
920	670	57
921	671	56
922	671	56
923	672	55
924	673	54
925	673	53
926	674	53
927	674	52
928	675	51
929	675	50
930	676	50
931	676	49
932	677	48
933	677	47
934	678	47
935	678	46
936	679	45
937	679	44
938	680	44
939	680	43
940	681	42
941	681	41
942	682	41
943	683	40
944	683	39
945	684	39
946	684	38
947	685	37
948	685	36
949	686	36
950	686	35
951	687	34
952	687	33
953	688	33
954	688	32
955	689	31
956	689	31
957	690	30
958	690	29
959	691	28
960	692	28
961	692	27
962	693	26
963	693	25
964	693	25
965	694	24
966	695	23
967	695	22
968	696	22
969	696	21
970	697	20
971	697	20
972	698	19
973	698	18
974	699	17
975	699	17
976	700	16
977	700	15
978	701	15
979	702	14
980	702	13
981	703	12
982	703	12
983	704	11
984	704	10
985	705	10
986	705	9
987	706	8
988	706	7
989	707	7
990	707	6
991	708	5
992	708	4
993	709	4
994	709	3
995	710	2
996	711	2
997	711	1
998	712	0
999	712	0
